@relation 'Final_Train_Data_Weka-weka.filters.unsupervised.attribute.NumericToNominal-R3-5,10'

@attribute NEIGHBORHOOD {ARROCHAR,'ARROCHAR-SHORE ACRES',CONCORD,'CONCORD-FOX HILLS','DONGAN HILLS','DONGAN HILLS-COLONY','DONGAN HILLS-OLD TOWN','GRANT CITY',GRASMERE,'GREAT KILLS','GREAT KILLS-BAY TERRACE','GRYMES HILL','MIDLAND BEACH','NEW DORP','NEW DORP-BEACH','NEW DORP-HEIGHTS',OAKWOOD,OAKWOOD-BEACH,RICHMONDTOWN,'RICHMONDTOWN-LIGHTHS HILL',ROSEBANK,'SOUTH BEACH',STAPLETON,STAPLETON-CLIFTON,TOMPKINSVILLE,'TODT HILL'}
@attribute 'BUILDING CLASS CATEGORY' {'01 ONE FAMILY DWELLINGS','02 TWO FAMILY DWELLINGS'}
@attribute BLOCK {512,515,516,521,524,527,529,530,532,541,560,561,562,563,565,568,579,586,614,618,622,626,631,638,643,647,648,835,839,848,849,855,856,858,869,885,895,899,939,942,944,945,948,949,950,951,2248,2260,2270,2271,2277,2279,2281,2284,2287,2288,2306,2829,2834,2836,2837,2839,2840,2844,2848,2853,2854,2855,2856,2857,2859,2861,2866,2867,2873,2876,2879,2882,2897,2899,2902,2908,2912,2915,2922,2925,2930,2966,2969,2970,2973,2975,2982,2983,2985,2989,2993,3003,3004,3019,3023,3024,3034,3036,3038,3065,3066,3070,3072,3073,3075,3099,3102,3103,3104,3105,3106,3110,3111,3116,3121,3122,3123,3124,3155,3159,3163,3165,3167,3169,3171,3176,3183,3184,3191,3209,3221,3226,3228,3234,3237,3246,3249,3250,3251,3252,3254,3255,3268,3269,3270,3271,3272,3276,3277,3282,3284,3285,3293,3294,3295,3296,3301,3306,3315,3316,3317,3320,3321,3325,3331,3332,3333,3337,3343,3345,3348,3354,3361,3362,3371,3373,3375,3378,3379,3390,3391,3394,3395,3398,3400,3401,3406,3420,3478,3481,3491,3500,3530,3531,3535,3539,3540,3552,3553,3558,3560,3563,3565,3570,3571,3572,3573,3575,3577,3579,3583,3586,3589,3591,3594,3595,3598,3599,3604,3606,3608,3609,3610,3613,3616,3617,3620,3626,3628,3629,3633,3634,3635,3640,3641,3643,3646,3650,3651,3652,3655,3659,3660,3661,3667,3669,3673,3674,3679,3681,3682,3684,3685,3686,3687,3689,3698,3703,3707,3708,3709,3711,3712,3716,3717,3718,3721,3722,3728,3729,3730,3733,3734,3735,3739,3740,3744,3746,3791,3797,3798,3800,3804,3805,3808,3809,3810,3814,3815,3817,3818,3819,3821,3873,3882,3885,3887,3888,3960,4000,4017,4018,4019,4027,4029,4030,4031,4033,4041,4043,4046,4047,4049,4050,4051,4052,4054,4057,4058,4063,4064,4066,4068,4069,4071,4073,4074,4078,4083,4085,4087,4088,4089,4091,4093,4130,4131,4194,4197,4198,4202,4212,4213,4219,4220,4221,4223,4226,4228,4229,4233,4237,4239,4240,4245,4247,4248,4250,4253,4254,4262,4265,4267,4271,4273,4278,4289,4290,4298,4299,4300,4302,4305,4306,4310,4311,4315,4316,4327,4328,4332,4342,4343,4344,4347,4349,4359,4363,4369,4378,4394,4399,4400,4405,4411,4416,4420,4421,4431,4435,4436,4447,4465,4466,4467,4468,4474,4476,4477,4478,4645,4656,4657,4659,4661,4669,4672,4673,4674,4675,4676,4678,4679,4680,4682,4683,4684,4696,4697,4698,4705,4706,4708,4710,4712,4713,4716,4717,4719,4720,4723,4726,4728,4961,4972,4973,4975,5016,5018,5019,5020,5022,5023,5024,5025,5026,5027,5028,5030,5090,5093,5101,5103}
@attribute LOT {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,68,69,70,71,72,73,74,75,76,77,78,79,81,82,84,86,87,88,89,90,92,93,94,96,97,99,100,104,106,107,108,110,112,115,116,117,120,121,123,126,128,132,133,136,140,141,142,143,144,145,150,152,156,157,158,163,165,168,170,172,173,177,183,188,189,195,199,202,212,217,226,233,235,255,257,260,266,267,274,277,278,302,315,338,364,368,373,382,403,405,407,410,412,415,417,430,432,434,436,445,451,473,476,478,488,566,601,615,618,620,652,737,769,828,908}
@attribute 'ZIP CODE' {10304,10305,10306}
@attribute 'RESIDENTIAL UNITS' numeric
@attribute 'COMMERCIAL UNITS' numeric
@attribute 'LAND SQUARE FEET' numeric
@attribute 'GROSS SQUARE FEET' numeric
@attribute 'YEAR BUILT' {1845,1899,1901,1905,1910,1915,1920,1925,1930,1931,1932,1935,1940,1945,1950,1955,1960,1963,1965,1966,1970,1972,1975,1976,1977,1978,1979,1980,1981,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020}
@attribute 'BUILDING CLASS AT TIME OF SALE' {A2,A5,A1,B2,B1,A0,S2,B3,A3,B9,A9,A6,S1}
@attribute 'SALE PRICE ' {'Over Budget','Within Budget'}
@attribute 'SALE DATE' {Autumn,Spring,Summer,Winter}

@data
GRASMERE,'01 ONE FAMILY DWELLINGS',3228,87,10305,1,0,6000,2498,1950,A1,'Over Budget',Summer
GRASMERE,'01 ONE FAMILY DWELLINGS',3234,65,10305,1,0,4000,1860,1977,A9,'Over Budget',Winter
GRASMERE,'02 TWO FAMILY DWELLINGS',3036,4,10305,2,0,4160,2000,1960,B2,'Over Budget',Winter
GRASMERE,'02 TWO FAMILY DWELLINGS',3036,14,10305,2,0,4455,2100,1960,B2,'Over Budget',Summer
GRASMERE,'02 TWO FAMILY DWELLINGS',3183,53,10304,2,0,4200,1464,1920,B3,'Over Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4447,4,10306,1,0,936,1152,1986,A9,'Within Budget',Winter
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4447,39,10306,1,0,960,1152,1986,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4465,26,10306,1,0,2450,1410,2003,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4466,16,10306,1,0,2760,1410,2002,A5,'Within Budget',Winter
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4474,47,10306,1,0,3064,1450,1986,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4474,49,10306,1,0,2625,1100,1986,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4474,86,10306,1,0,2500,1920,1986,A5,'Within Budget',Winter
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4476,14,10306,1,0,2750,1872,1986,A5,'Over Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4476,46,10306,1,0,2650,1872,1986,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4476,57,10306,1,0,2544,1872,1986,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4476,70,10306,1,0,2424,1980,1986,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4477,48,10306,1,0,500,1150,1991,A5,'Within Budget',Winter
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4477,61,10306,1,0,500,1150,1991,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,36,10306,1,0,1760,1140,1986,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,40,10306,1,0,1743,1140,1986,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,77,10306,1,0,1609,1350,1988,A5,'Within Budget',Winter
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,81,10306,1,0,2990,1350,1988,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,257,10306,1,0,2142,1484,1986,A5,'Within Budget',Spring
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,260,10306,1,0,2163,1484,1986,A5,'Within Budget',Spring
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,266,10306,1,0,1872,1404,1985,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,430,10306,1,0,946,1176,1988,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,432,10306,1,0,688,935,1988,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,473,10306,1,0,946,1364,1988,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,476,10306,1,0,946,1364,1988,A5,'Within Budget',Winter
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,478,10306,1,0,946,1364,1988,A5,'Within Budget',Winter
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,601,10306,1,0,500,1240,1996,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,615,10306,1,0,500,1240,1996,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,618,10306,1,0,500,1240,1996,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4478,618,10306,1,0,500,1240,1996,A5,'Within Budget',Spring
'GREAT KILLS','01 ONE FAMILY DWELLINGS',4645,267,10306,1,0,1092,1244,1994,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',5026,68,10306,1,0,2400,1232,1975,A5,'Within Budget',Summer
'GREAT KILLS','01 ONE FAMILY DWELLINGS',5026,92,10306,1,0,2664,1232,1975,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',5027,50,10306,1,0,2408,1232,1965,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',5028,33,10306,1,0,2375,1232,1972,A5,'Within Budget',Winter
'GREAT KILLS','01 ONE FAMILY DWELLINGS',5030,4,10306,1,0,2500,1224,1965,A5,'Within Budget',Autumn
'GREAT KILLS','01 ONE FAMILY DWELLINGS',5103,6,10306,1,0,2500,1176,1975,A5,'Within Budget',Spring
'GREAT KILLS','01 ONE FAMILY DWELLINGS',5103,52,10306,1,0,2400,1176,1975,A5,'Within Budget',Winter
'GREAT KILLS','02 TWO FAMILY DWELLINGS',4477,99,10306,2,0,2415,1504,1986,B2,'Within Budget',Autumn
'GREAT KILLS','02 TWO FAMILY DWELLINGS',4645,233,10306,2,0,1822,1260,1994,B9,'Within Budget',Summer
'GREAT KILLS','02 TWO FAMILY DWELLINGS',4645,235,10306,2,0,1822,1260,1994,B9,'Within Budget',Autumn
'GREAT KILLS','02 TWO FAMILY DWELLINGS',4645,255,10306,2,0,1656,1260,1994,B2,'Within Budget',Winter
'GREAT KILLS','02 TWO FAMILY DWELLINGS',5026,13,10306,2,0,2850,2000,2002,B9,'Over Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4696,17,10306,1,0,3800,1190,1960,A2,'Within Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4696,41,10306,1,0,3000,1152,1960,A5,'Within Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4696,49,10306,1,0,4000,1100,1960,A2,'Within Budget',Spring
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4697,9,10306,1,0,4000,1600,1965,A1,'Over Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4697,18,10306,1,0,2000,1370,1965,A5,'Within Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4961,37,10306,1,0,4953,914,1950,A2,'Within Budget',Summer
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4972,1,10306,1,0,2375,1140,1970,A5,'Within Budget',Spring
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4972,3,10306,1,0,2375,1140,1970,A5,'Within Budget',Summer
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4973,5,10306,1,0,6500,1089,1925,A1,'Over Budget',Spring
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4973,16,10306,1,0,5000,875,1930,A1,'Within Budget',Spring
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4975,6,10306,1,0,2500,1656,1965,A5,'Within Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',4975,23,10306,1,0,2375,1140,1965,A5,'Within Budget',Spring
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5016,56,10306,0,0,11400,0,1930,A1,'Over Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5016,68,10306,1,0,3062,2500,2005,A5,'Within Budget',Summer
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5019,3,10306,1,0,5000,924,1940,A0,'Within Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5020,16,10306,1,0,2450,1564,1970,A5,'Within Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5022,29,10306,1,0,4085,1196,1960,A2,'Within Budget',Summer
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5022,68,10306,1,0,4180,1144,1960,A2,'Over Budget',Spring
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5024,25,10306,1,0,5839,1306,1935,A1,'Within Budget',Summer
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5090,22,10306,1,0,7500,884,1950,A2,'Within Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5090,25,10306,1,0,9000,1145,1950,A2,'Within Budget',Autumn
'GREAT KILLS-BAY TERRACE','01 ONE FAMILY DWELLINGS',5101,46,10306,1,0,5235,1877,1975,A2,'Within Budget',Summer
'GREAT KILLS-BAY TERRACE','02 TWO FAMILY DWELLINGS',4697,23,10306,2,0,7425,2392,1965,B2,'Over Budget',Spring
'GREAT KILLS-BAY TERRACE','02 TWO FAMILY DWELLINGS',5022,44,10306,2,0,7245,2416,1960,B2,'Over Budget',Autumn
'GREAT KILLS-BAY TERRACE','02 TWO FAMILY DWELLINGS',5023,57,10306,2,0,3870,2950,1970,B2,'Over Budget',Spring
'GREAT KILLS-BAY TERRACE','02 TWO FAMILY DWELLINGS',5025,9,10306,2,0,4000,2444,1960,B2,'Over Budget',Winter
'GREAT KILLS-BAY TERRACE','02 TWO FAMILY DWELLINGS',5093,11,10306,2,0,3320,1152,1975,B9,'Over Budget',Autumn
'GREAT KILLS-BAY TERRACE','02 TWO FAMILY DWELLINGS',5093,17,10306,2,0,4000,2328,1975,B2,'Over Budget',Summer
'GRYMES HILL','01 ONE FAMILY DWELLINGS',614,172,10304,1,0,7296,1952,1920,A1,'Within Budget',Autumn
'GRYMES HILL','01 ONE FAMILY DWELLINGS',618,6,10304,1,0,5476,1320,1915,A1,'Within Budget',Autumn
'GRYMES HILL','01 ONE FAMILY DWELLINGS',622,17,10304,1,0,4700,1592,1920,A1,'Within Budget',Autumn
'GRYMES HILL','01 ONE FAMILY DWELLINGS',631,173,10304,1,0,3185,839,1925,A2,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3650,34,10305,1,0,1470,1900,2003,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3651,96,10305,1,0,2700,2308,1970,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3651,106,10305,1,0,3600,1724,1930,A1,'Over Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3652,140,10305,1,0,1344,1432,1987,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3661,26,10305,1,0,2300,924,1965,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3669,10,10306,1,0,2300,1088,1960,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3673,14,10306,1,0,2550,1200,1989,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3673,19,10306,1,0,2143,1775,2007,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3673,29,10306,1,0,5104,2322,1955,A1,'Over Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3681,3,10306,1,0,2300,1600,1975,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3681,48,10306,1,0,2350,1636,1975,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3682,58,10306,1,0,2473,1148,1975,A5,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3682,66,10306,1,0,2464,1148,1975,A9,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3684,35,10306,1,0,2856,1280,1980,A9,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3686,13,10306,1,0,2339,1598,1999,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3686,65,10306,1,0,2370,1860,2003,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3687,11,10306,1,0,2475,1200,2005,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3689,33,10306,1,0,2516,896,1970,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3698,27,10306,1,0,2500,1120,1960,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3703,42,10306,1,0,1760,1190,2011,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3707,61,10305,1,0,3860,1350,1985,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3708,69,10305,1,0,2200,1456,1979,A9,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3709,21,10305,1,0,2500,1152,1980,A9,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3709,42,10305,1,0,2500,1152,1980,A9,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3712,14,10305,1,0,2800,1440,1975,A5,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3712,42,10305,1,0,2688,1408,1975,A9,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3712,60,10305,1,0,2725,1408,1975,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3712,116,10305,1,0,2800,1280,1975,A9,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3717,13,10306,1,0,2688,1512,1980,A9,'Over Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3717,54,10306,1,0,2464,1408,1975,A9,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3718,46,10306,1,0,2684,1760,1975,A9,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3721,34,10306,1,0,2691,1280,1975,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3722,42,10306,1,0,3040,950,1930,A2,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3728,18,10306,1,0,2118,1278,2019,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3728,19,10306,1,0,2128,1278,2019,A5,'Over Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3728,22,10306,1,0,1498,1900,2003,A5,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3729,35,10306,1,0,2356,1280,1980,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3733,52,10306,1,0,2000,2000,2000,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3734,9,10306,1,0,2960,600,1930,A2,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3734,33,10306,1,0,1380,768,1925,A2,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3734,44,10306,1,0,2960,2534,2005,A1,'Over Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3735,13,10306,1,0,2000,1800,2004,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3735,29,10306,1,0,2380,1496,1975,A1,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3735,37,10306,1,0,2000,1400,2020,A1,'Over Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3739,17,10306,1,0,840,524,1945,A2,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3740,22,10306,1,0,2140,736,1925,A6,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3740,24,10306,1,0,2140,1540,2019,A1,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3744,17,10306,1,0,1467,1900,1989,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3744,30,10306,1,0,2400,1442,2006,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3746,55,10306,1,0,6100,1760,1920,A1,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3791,5,10306,1,0,2318,1713,1999,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3797,4,10306,1,0,2000,1600,2001,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3798,18,10306,1,0,2000,1260,2017,A1,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3798,44,10306,1,0,2000,560,1920,A6,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3798,141,10306,1,0,2400,1600,1991,A5,'Over Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3800,26,10306,1,0,2000,1300,1990,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3804,23,10306,1,0,1330,450,1989,A6,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3805,4,10306,1,0,2929,1900,2003,A5,'Over Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3805,37,10306,1,0,2391,2060,2008,A5,'Over Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3808,26,10306,1,0,2250,2104,2019,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3808,27,10306,1,0,2250,2104,2019,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3809,21,10306,1,0,2000,1300,1987,A5,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3810,9,10306,1,0,2250,650,1930,A2,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3815,9,10306,1,0,1300,1200,1991,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3817,20,10306,1,0,2200,1300,1985,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3817,27,10306,1,0,2484,1538,2019,A5,'Over Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3817,28,10306,1,0,2484,1538,2019,A5,'Over Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3817,29,10306,1,0,2484,1538,2019,A5,'Over Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3817,30,10306,1,0,2807,1770,2019,A5,'Over Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3817,38,10306,1,0,2000,1400,2004,A5,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3818,34,10306,1,0,1986,1200,1998,A5,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3818,36,10306,1,0,3015,1839,2019,A5,'Over Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3819,33,10306,1,0,1500,1100,1935,A1,'Within Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3821,39,10306,1,0,4000,1164,1925,A1,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3873,53,10306,1,0,1050,1480,1989,A5,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3873,112,10306,1,0,1050,1480,1989,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3873,115,10306,1,0,1050,1480,1989,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3882,13,10306,1,0,2000,1196,2018,A5,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3882,45,10306,1,0,3000,756,1950,A6,'Within Budget',Winter
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3885,13,10306,1,0,1300,1200,2003,A5,'Within Budget',Autumn
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3887,18,10306,1,0,2250,2020,2015,A5,'Within Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3887,23,10306,1,0,2251,2104,2019,A5,'Over Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3887,24,10306,1,0,2251,2104,2019,A5,'Over Budget',Spring
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3887,25,10306,1,0,2251,2104,2019,A5,'Over Budget',Summer
'MIDLAND BEACH','01 ONE FAMILY DWELLINGS',3888,33,10306,1,0,1522,1300,1990,A5,'Within Budget',Autumn
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3481,12,10305,2,0,4000,1724,2018,B3,'Within Budget',Summer
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3655,21,10305,2,0,4640,1736,1970,B2,'Over Budget',Spring
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3659,1,10305,2,0,4838,2092,1970,B2,'Over Budget',Autumn
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3660,16,10305,2,0,4704,2187,1970,B2,'Over Budget',Winter
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3667,22,10306,2,0,2875,1200,1989,B2,'Within Budget',Autumn
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3674,64,10306,2,0,4400,2392,1970,B2,'Over Budget',Autumn
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3685,18,10306,2,0,4000,1368,1920,B3,'Within Budget',Summer
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3711,26,10305,2,0,4200,2400,1970,B2,'Over Budget',Spring
'MIDLAND BEACH','02 TWO FAMILY DWELLINGS',3716,63,10306,2,0,2442,2176,1980,B2,'Within Budget',Spring
